target_id	length	eff_length	est_counts	tpm
ENST00000622028.1	353	104.031	0	0
ENST00000632585.1	408	159	0	0
ENST00000632205.1	532	283	9	0.766736
ENST00000632891.1	380	131.001	0.7582	0.13954
ENST00000633250.1	445	196	0.516124	0.0634874
ENST00000631614.2	398	149	0	0
ENST00000633273.1	409	160	4.34171	0.654231
ENST00000632088.2	392	143	3.11854	0.52578
ENST00000632502.1	398	149	0	0
ENST00000632887.1	442	193	11.9351	1.49093
ENST00000632011.1	378	129.001	0	0
ENST00000632229.1	378	129.001	0.658287	0.12303
ENST00000632822.1	400	151	14.6809	2.34404
ENST00000631699.1	406	157	1	0.153564
ENST00000633851.1	390	141	1	0.17099
ENST00000631531.1	382	133.001	0	0
ENST00000633682.1	390	141	4.26958	0.730054
ENST00000632910.1	390	141	3.64934	0.624
ENST00000634204.1	324	75.5516	0	0
ENST00000632835.1	382	133.001	0.303074	0.0549395
ENST00000632103.1	398	149	0	0
ENST00000631411.1	398	149	0	0
ENST00000632811.1	312	64.392	1	0.374419
ENST00000632384.1	314	66.2053	0	0
ENST00000634015.1	473	224	2.49703	0.268761
ENST00000633833.1	402	153	0	0
ENST00000632076.1	415	166	1.56109	0.22673
ENST00000633490.1	413	164	0	0
ENST00000632333.1	353	104.031	0.522776	0.121155
ENST00000632151.1	391	142	1.38625	0.235366
ENST00000632977.1	395	146	0	0
ENST00000612474.2	402	153	10.4753	1.65068
ENST00000633618.1	427	178	0	0
ENST00000631807.1	420	171	9.43317	1.33
ENST00000632980.1	432	183	7.84092	1.03301
ENST00000631826.1	411	162	0	0
ENST00000632719.1	425	176	1	0.136986
ENST00000633426.1	571	322	1.31145	0.098194
ENST00000631755.1	425	176	0	0
ENST00000631975.1	430	181	0.5	0.0666011
ENST00000633147.1	412	163	0	0
ENST00000631869.1	353	104.031	8.29365	1.92208
ENST00000633752.1	353	104.031	1	0.231754
ENST00000631710.1	433	184	0	0
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	0	0
ENST00000620764.2	412	163	0	0
ENST00000633988.1	432	183	7.12721	0.938984
ENST00000632457.1	382	133.001	0	0
ENST00000619078.2	495	246	6.77432	0.663927
ENST00000632173.1	434	185	0	0
ENST00000633040.1	435	186	0	0
ENST00000632846.1	429	180	0	0
ENST00000633602.1	439	190	0	0
ENST00000614315.1	303	56.5345	0	0
ENST00000632296.1	432	183	0.780856	0.102875
ENST00000633446.1	411	162	3.8575	0.574091
ENST00000632614.1	414	165	0	0
ENST00000560724.3	378	129.001	1	0.186894
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0	0
ENST00000631708.1	439	190	0	0
ENST00000632960.1	457	208	1.93931	0.224789
ENST00000633987.1	589	340	7.65343	0.542709
ENST00000632005.1	434	185	0	0
ENST00000633570.1	349	100.049	6	1.44587
ENST00000615784.2	353	104.031	0	0
ENST00000633400.1	431	182	0	0
ENST00000631379.1	417	168	0	0
ENST00000632882.1	414	165	4.58374	0.669771
ENST00000632211.1	439	190	0	0
ENST00000632105.1	657	408	5.22038	0.308483
ENST00000632630.1	432	183	4.15547	0.547468
ENST00000633299.1	417	168	0	0
ENST00000633350.1	417	168	3.92328	0.563028
ENST00000390282.2	419	170	0	0
ENST00000390287.2	365	116.007	0	0
ENST00000390283.2	414	165	1	0.146119
ENST00000390284.2	362	113.011	0	0
ENST00000390285.4	353	104.031	1	0.231754
ENST00000390286.3	381	132.001	0	0
ENST00000390289.2	379	130.001	22	4.08005
ENST00000390290.3	389	140	11	1.89432
ENST00000390291.2	405	156	2	0.309097
ENST00000427632.2	409	160	0	0
ENST00000390293.1	369	120.004	0	0
ENST00000390294.2	407	158	2.50875	0.382816
ENST00000390295.3	385	136	3	0.531827
ENST00000390296.2	397	148	0	0
ENST00000390297.3	467	218	0.00188057	0.00020798
ENST00000390298.2	385	136	0.5	0.0886379
ENST00000390299.2	407	158	1.63931	0.250147
ENST00000390300.2	374	125.002	0	0
ENST00000390301.3	393	144	0	0
ENST00000390302.3	412	163	0	0
ENST00000390303.3	383	134.001	0	0
ENST00000390304.2	377	128.001	0	0
ENST00000390305.2	380	131.001	0	0
ENST00000390306.2	502	253	16.3552	1.55857
ENST00000390307.2	409	160	0	0
ENST00000390308.2	602	353	15	1.02449
ENST00000390309.2	377	128.001	11	2.07189
ENST00000390310.3	367	118.006	0	0
ENST00000390311.3	385	136	0	0
ENST00000390312.2	402	153	16.8403	2.65367
ENST00000390315.3	382	133.001	0	0
ENST00000390316.2	461	212	0	0
ENST00000620395.2	517	268	12.7748	1.14924
ENST00000390318.2	403	154	0	0
ENST00000390319.2	398	149	8	1.29447
ENST00000604066.1	353	104.031	2.39813	0.555775
ENST00000390609.3	432	183	4.15547	0.547468
ENST00000390616.2	400	151	0	0
ENST00000390618.2	426	177	0	0
ENST00000390612.3	425	176	1	0.136986
ENST00000390607.2	430	181	0	0
ENST00000632099.1	353	104.031	0.522776	0.121155
ENST00000390617.2	366	117.006	0	0
ENST00000390603.2	437	188	2.21188	0.283656
ENST00000390606.3	415	166	1.56109	0.22673
ENST00000390610.2	411	162	0	0
ENST00000390615.2	431	182	3.74239	0.495755
ENST00000603660.1	431	182	0	0
ENST00000632950.2	410	161	0	0
ENST00000390611.2	381	132.001	0	0
ENST00000390605.2	410	161	5.63431	0.843733
ENST00000438142.3	428	179	0	0
ENST00000390602.3	430	181	0.5	0.0666011
ENST00000390604.2	425	176	0	0
ENST00000390601.3	473	224	2.49703	0.268761
ENST00000390313.3	356	107.022	0	0
ENST00000390314.2	400	151	6.87107	1.09708
ENST00000390619.2	425	176	0	0
ENST00000434710.1	434	185	0	0
ENST00000390621.3	411	162	0	0
ENST00000390622.2	655	406	0	0
ENST00000390624.3	432	183	0.780856	0.102875
ENST00000390625.3	439	190	0	0
ENST00000390626.2	410	161	0	0
ENST00000390627.3	571	322	1.31145	0.098194
ENST00000390628.3	414	165	0	0
ENST00000390629.3	495	246	6.77432	0.663927
ENST00000519403.2	307	59.9608	0	0
ENST00000610349.2	407	158	1.63931	0.250147
ENST00000628287.1	466	217	8.21074	0.912247
ENST00000627634.1	383	134.001	0	0
ENST00000628968.1	374	125.002	0	0
ENST00000618644.2	385	136	0.5	0.0886379
ENST00000618026.2	393	144	0	0
ENST00000630493.1	369	120.004	0	0
ENST00000629472.1	412	163	0	0
ENST00000626489.1	397	148	0	0
ENST00000628219.1	534	285	0	0
ENST00000627132.1	384	135.001	0	0
ENST00000626108.1	353	104.031	0	0
ENST00000390593.2	415	166	2	0.290477
ENST00000390594.3	417	168	3.92328	0.563028
ENST00000390595.3	395	146	0	0
ENST00000455737.2	417	168	0	0
