target_id	length	eff_length	est_counts	tpm
ENST00000622028.1	353	104.031	0	0
ENST00000632585.1	408	159	0	0
ENST00000632205.1	532	283	33.632	3.72015
ENST00000632891.1	380	131.001	0	0
ENST00000633250.1	445	196	0	0
ENST00000631614.2	398	149	1.29056	0.271135
ENST00000633273.1	409	160	5.94604	1.16333
ENST00000632088.2	392	143	23.8363	5.21791
ENST00000632502.1	398	149	7.38643	1.55183
ENST00000632887.1	442	193	12.8998	2.09228
ENST00000632011.1	378	129.001	3.5	0.849315
ENST00000632229.1	378	129.001	2.30006	0.558136
ENST00000632822.1	400	151	37.7789	7.8319
ENST00000631699.1	406	157	0	0
ENST00000633851.1	390	141	0	0
ENST00000631531.1	382	133.001	3.49806	0.82332
ENST00000633682.1	390	141	0	0
ENST00000632910.1	390	141	2.5	0.555028
ENST00000634204.1	324	75.5516	1.30071	0.538931
ENST00000632835.1	382	133.001	1.49571	0.352036
ENST00000632103.1	398	149	0	0
ENST00000631411.1	398	149	13.5464	2.84599
ENST00000632811.1	312	64.392	0	0
ENST00000632384.1	314	66.2053	0	0
ENST00000634015.1	473	224	3.52924	0.493206
ENST00000633833.1	402	153	0	0
ENST00000632076.1	415	166	2.00885	0.378821
ENST00000633490.1	413	164	0	0
ENST00000632333.1	353	104.031	0	0
ENST00000632151.1	391	142	0	0
ENST00000632977.1	395	146	4.5	0.964837
ENST00000612474.2	402	153	4.37159	0.894423
ENST00000633618.1	427	178	0	0
ENST00000631807.1	420	171	10.7857	1.97446
ENST00000632980.1	432	183	19.0595	3.26027
ENST00000631826.1	411	162	0	0
ENST00000632719.1	425	176	1.63827	0.291385
ENST00000633426.1	571	322	0	0
ENST00000631755.1	425	176	0	0
ENST00000631975.1	430	181	0.51599	0.0892396
ENST00000633147.1	412	163	5.09871	0.97919
ENST00000631869.1	353	104.031	0	0
ENST00000633752.1	353	104.031	0	0
ENST00000631710.1	433	184	1.43717e-08	2.44503e-09
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	6.61172e-08	1.08932e-08
ENST00000620764.2	412	163	6.66206	1.27943
ENST00000633988.1	432	183	1.37612e-07	2.35396e-08
ENST00000632457.1	382	133.001	0	0
ENST00000619078.2	495	246	28.203	3.58885
ENST00000632173.1	434	185	0	0
ENST00000633040.1	435	186	0.000339132	5.70756e-05
ENST00000632846.1	429	180	3.78667	0.658536
ENST00000633602.1	439	190	0	0
ENST00000614315.1	303	56.5345	0	0
ENST00000632296.1	432	183	0.972472	0.166349
ENST00000633446.1	411	162	2.64634	0.511359
ENST00000632614.1	414	165	0	0
ENST00000560724.3	378	129.001	1	0.242661
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	4.60018e-05	8.09001e-06
ENST00000631708.1	439	190	7.83508	1.29088
ENST00000632960.1	457	208	0	0
ENST00000633987.1	589	340	0.000641777	5.90881e-05
ENST00000632005.1	434	185	0	0
ENST00000633570.1	349	100.049	3.08489	0.96521
ENST00000615784.2	353	104.031	0	0
ENST00000633400.1	431	182	0	0
ENST00000631379.1	417	168	0	0
ENST00000632882.1	414	165	0	0
ENST00000632211.1	439	190	0	0
ENST00000632105.1	657	408	0.000160917	1.23463e-05
ENST00000632630.1	432	183	10.2267	1.74936
ENST00000633299.1	417	168	0	0
ENST00000633350.1	417	168	3.79302	0.706758
ENST00000390282.2	419	170	0	0
ENST00000390287.2	365	116.007	0	0
ENST00000390283.2	414	165	16	3.0355
ENST00000390284.2	362	113.011	0	0
ENST00000390285.4	353	104.031	18	5.41631
ENST00000390286.3	381	132.001	0	0
ENST00000390289.2	379	130.001	34	8.18704
ENST00000390290.3	389	140	21	4.69554
ENST00000390291.2	405	156	1.40203	0.281337
ENST00000427632.2	409	160	0	0
ENST00000390293.1	369	120.004	0	0
ENST00000390294.2	407	158	12.6687	2.50998
ENST00000390295.3	385	136	4	0.920692
ENST00000390296.2	397	148	1	0.211511
ENST00000390297.3	467	218	0.00280276	0.000402461
ENST00000390298.2	385	136	1	0.230173
ENST00000390299.2	407	158	10.8315	2.14597
ENST00000390300.2	374	125.002	0	0
ENST00000390301.3	393	144	0	0
ENST00000390302.3	412	163	0	0
ENST00000390303.3	383	134.001	0	0
ENST00000390304.2	377	128.001	0	0
ENST00000390305.2	380	131.001	1	0.238957
ENST00000390306.2	502	253	37.1756	4.59972
ENST00000390307.2	409	160	0	0
ENST00000390308.2	602	353	93	8.24713
ENST00000390309.2	377	128.001	6	1.46734
ENST00000390310.3	367	118.006	0	0
ENST00000390311.3	385	136	0	0
ENST00000390312.2	402	153	17.7384	3.62926
ENST00000390315.3	382	133.001	2	0.470729
ENST00000390316.2	461	212	0	0
ENST00000620395.2	517	268	29.2063	3.41143
ENST00000390318.2	403	154	0	0
ENST00000390319.2	398	149	4	0.840366
ENST00000604066.1	353	104.031	1.5	0.45136
ENST00000390609.3	432	183	10.2267	1.74936
ENST00000390616.2	400	151	0	0
ENST00000390618.2	426	177	1.05404	0.186414
ENST00000390612.3	425	176	1.63827	0.291385
ENST00000390607.2	430	181	0	0
ENST00000632099.1	353	104.031	0	0
ENST00000390617.2	366	117.006	12	3.21045
ENST00000390603.2	437	188	10.2316	1.70365
ENST00000390606.3	415	166	2.00885	0.378821
ENST00000390610.2	411	162	4	0.772929
ENST00000390615.2	431	182	37.1957	6.39759
ENST00000603660.1	431	182	0	0
ENST00000632950.2	410	161	1.33794	0.260138
ENST00000390611.2	381	132.001	0	0
ENST00000390605.2	410	161	0	0
ENST00000438142.3	428	179	0	0
ENST00000390602.3	430	181	0.51599	0.0892396
ENST00000390604.2	425	176	0	0
ENST00000390601.3	473	224	3.52924	0.493206
ENST00000390313.3	356	107.022	0	0
ENST00000390314.2	400	151	38.185	7.91609
ENST00000390619.2	425	176	2.75009	0.489135
ENST00000434710.1	434	185	5.03982	0.852782
ENST00000390621.3	411	162	0	0
ENST00000390622.2	655	406	1.0224	0.0788298
ENST00000390624.3	432	183	0.972472	0.166349
ENST00000390625.3	439	190	0	0
ENST00000390626.2	410	161	0	0
ENST00000390627.3	571	322	0	0
ENST00000390628.3	414	165	0	0
ENST00000390629.3	495	246	28.203	3.58885
ENST00000519403.2	307	59.9608	0	0
ENST00000610349.2	407	158	10.8315	2.14597
ENST00000628287.1	466	217	10.1347	1.462
ENST00000627634.1	383	134.001	0	0
ENST00000628968.1	374	125.002	0	0
ENST00000618644.2	385	136	1	0.230173
ENST00000618026.2	393	144	0	0
ENST00000630493.1	369	120.004	0	0
ENST00000629472.1	412	163	0	0
ENST00000626489.1	397	148	1	0.211511
ENST00000628219.1	534	285	1.14902	0.126205
ENST00000627132.1	384	135.001	1.01646	0.235694
