target_id	length	eff_length	est_counts	tpm
ENST00000622028.1	353	104.031	2.55372	0.425892
ENST00000632585.1	408	159	19	2.07322
ENST00000632205.1	532	283	11196.3	686.4
ENST00000632891.1	380	131.001	1504.81	199.295
ENST00000633250.1	445	196	129.945	11.5025
ENST00000631614.2	398	149	112.49	13.0984
ENST00000633273.1	409	160	2703.82	293.189
ENST00000632088.2	392	143	4354.81	528.351
ENST00000632502.1	398	149	653.012	76.0369
ENST00000632887.1	442	193	9014.33	810.338
ENST00000632011.1	378	129.001	484.222	65.124
ENST00000632229.1	378	129.001	984.892	132.46
ENST00000632822.1	400	151	12334.6	1417.23
ENST00000631699.1	406	157	455.978	50.3888
ENST00000633851.1	390	141	224.565	27.6319
ENST00000631531.1	382	133.001	505.751	65.974
ENST00000633682.1	390	141	0	0
ENST00000632910.1	390	141	810.289	99.7035
ENST00000634204.1	324	75.5516	156.458	35.9289
ENST00000632835.1	382	133.001	0	0
ENST00000632103.1	398	149	1.59261	0.185444
ENST00000631411.1	398	149	1568.49	182.635
ENST00000632811.1	312	64.392	34.8634	9.3935
ENST00000632384.1	314	66.2053	8.65	2.2668
ENST00000634015.1	473	224	775.803	60.0888
ENST00000633833.1	402	153	706.621	80.1281
ENST00000632076.1	415	166	802.088	83.8308
ENST00000633490.1	413	164	2467.4	261.027
ENST00000632333.1	353	104.031	3.21909	0.536858
ENST00000632151.1	391	142	30.7604	3.75831
ENST00000632977.1	395	146	189.031	22.4631
ENST00000612474.2	402	153	1294.33	146.773
ENST00000633618.1	427	178	9.05078e-05	8.82177e-06
ENST00000631807.1	420	171	471.621	47.8506
ENST00000632980.1	432	183	4225.6	400.615
ENST00000631826.1	411	162	18.6176	1.99388
ENST00000632719.1	425	176	194.116	19.1355
ENST00000633426.1	571	322	538.469	29.0132
ENST00000631755.1	425	176	16.8882	1.66479
ENST00000631975.1	430	181	6.75915	0.647893
ENST00000633147.1	412	163	3419.68	363.989
ENST00000631869.1	353	104.031	1622.96	270.666
ENST00000633752.1	353	104.031	0	0
ENST00000631710.1	433	184	621.518	58.6038
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	3386.09	309.196
ENST00000620764.2	412	163	2133.63	227.102
ENST00000633988.1	432	183	2713.75	257.282
ENST00000632457.1	382	133.001	115.027	15.005
ENST00000619078.2	495	246	6985.04	492.633
ENST00000632173.1	434	185	101.197	9.49042
ENST00000633040.1	435	186	793.199	73.9876
ENST00000632846.1	429	180	240.688	23.1992
ENST00000633602.1	439	190	265.295	24.2251
ENST00000614315.1	303	56.5345	0	0
ENST00000632296.1	432	183	284.747	26.996
ENST00000633446.1	411	162	970.892	103.979
ENST00000632614.1	414	165	27.0181	2.84094
ENST00000560724.3	378	129.001	1178.89	158.552
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0.00694355	0.000676787
ENST00000631708.1	439	190	353.505	32.2799
ENST00000632960.1	457	208	45.8447	3.82398
ENST00000633987.1	589	340	5328.52	271.905
ENST00000632005.1	434	185	493.135	46.247
ENST00000633570.1	349	100.049	43.6503	7.56946
ENST00000615784.2	353	104.031	255.64	42.6339
ENST00000633400.1	431	182	78.2827	7.4625
ENST00000631379.1	417	168	204.135	21.0813
ENST00000632882.1	414	165	1743.29	183.305
ENST00000632211.1	439	190	756.475	69.0766
ENST00000632105.1	657	408	2359.47	100.333
ENST00000632630.1	432	183	2449.11	232.192
ENST00000633299.1	417	168	590.411	60.9726
ENST00000633350.1	417	168	1831.71	189.164
ENST00000390282.2	419	170	400.374	40.8608
ENST00000390287.2	365	116.007	34	5.08492
ENST00000390283.2	414	165	2534.93	266.546
ENST00000390284.2	362	113.011	202	31.0115
ENST00000390285.4	353	104.031	5579	930.428
ENST00000390286.3	381	132.001	10	1.31436
ENST00000390289.2	379	130.001	117	15.6145
ENST00000390290.3	389	140	5142.21	637.252
ENST00000390291.2	405	156	20.5083	2.28084
ENST00000427632.2	409	160	773	83.8203
ENST00000390293.1	369	120.004	14.2789	2.06437
ENST00000390294.2	407	158	3928.33	431.361
ENST00000390295.3	385	136	1560.92	199.128
ENST00000390296.2	397	148	129.775	15.2131
ENST00000390297.3	467	218	6132.42	488.051
ENST00000390298.2	385	136	220.038	28.0703
ENST00000390299.2	407	158	1555.01	170.753
ENST00000390300.2	374	125.002	4.9726	0.69017
ENST00000390301.3	393	144	154.984	18.673
ENST00000390302.3	412	163	0	0
ENST00000390303.3	383	134.001	6.00062	0.776926
ENST00000390304.2	377	128.001	729.237	98.8426
ENST00000390305.2	380	131.001	7331.96	971.037
ENST00000390306.2	502	253	19339.5	1326.22
ENST00000390307.2	409	160	9.00628	0.976597
ENST00000390308.2	602	353	21604.3	1061.83
ENST00000390309.2	377	128.001	3698	501.236
ENST00000390310.3	367	118.006	256.022	37.6413
ENST00000390311.3	385	136	124.093	15.8306
ENST00000390312.2	402	153	11425.5	1295.6
ENST00000390315.3	382	133.001	971.889	126.781
ENST00000390316.2	461	212	2208.74	180.759
ENST00000620395.2	517	268	7421.04	480.418
ENST00000390318.2	403	154	6	0.675959
ENST00000390319.2	398	149	7873.61	916.806
ENST00000604066.1	353	104.031	180.758	30.1455
ENST00000390609.3	432	183	2449.11	232.192
ENST00000390616.2	400	151	0	0
ENST00000390618.2	426	177	29.8528	2.92618
ENST00000390612.3	425	176	194.116	19.1355
ENST00000390607.2	430	181	0	0
ENST00000632099.1	353	104.031	3.21909	0.536858
ENST00000390617.2	366	117.006	71.0221	10.5311
ENST00000390603.2	437	188	3.33327e-07	3.07611e-08
ENST00000390606.3	415	166	802.088	83.8308
ENST00000390610.2	411	162	1.04572	0.111993
ENST00000390615.2	431	182	3982.2	379.614
ENST00000603660.1	431	182	78.2827	7.4625
ENST00000632950.2	410	161	84.7772	9.13572
ENST00000390611.2	381	132.001	3.787	0.497747
ENST00000390605.2	410	161	0	0
ENST00000438142.3	428	179	53.2165	5.15802
ENST00000390602.3	430	181	6.75915	0.647893
ENST00000390604.2	425	176	16.8882	1.66479
ENST00000390601.3	473	224	775.803	60.0888
ENST00000390313.3	356	107.022	87.169	14.1312
ENST00000390314.2	400	151	11523.7	1324.05
