target_id	length	eff_length	est_counts	tpm
ENST00000622028.1	353	104.031	0	0
ENST00000632585.1	408	159	1	0.182659
ENST00000632205.1	532	283	1	0.102625
ENST00000632891.1	380	131.001	0	0
ENST00000633250.1	445	196	0	0
ENST00000631614.2	398	149	0	0
ENST00000633273.1	409	160	0	0
ENST00000632088.2	392	143	1	0.203096
ENST00000632502.1	398	149	0	0
ENST00000632887.1	442	193	1.16611	0.175477
ENST00000632011.1	378	129.001	0	0
ENST00000632229.1	378	129.001	0.5	0.112568
ENST00000632822.1	400	151	1.83389	0.352723
ENST00000631699.1	406	157	0.5	0.0924928
ENST00000633851.1	390	141	0	0
ENST00000631531.1	382	133.001	0	0
ENST00000633682.1	390	141	0.5	0.102988
ENST00000632910.1	390	141	0	0
ENST00000634204.1	324	75.5516	0	0
ENST00000632835.1	382	133.001	0.353429	0.0771766
ENST00000632103.1	398	149	0	0
ENST00000631411.1	398	149	0	0
ENST00000632811.1	312	64.392	0	0
ENST00000632384.1	314	66.2053	0	0
ENST00000634015.1	473	224	0	0
ENST00000633833.1	402	153	0	0
ENST00000632076.1	415	166	0	0
ENST00000633490.1	413	164	0	0
ENST00000632333.1	353	104.031	0	0
ENST00000632151.1	391	142	0	0
ENST00000632977.1	395	146	0	0
ENST00000612474.2	402	153	0	0
ENST00000633618.1	427	178	0	0
ENST00000631807.1	420	171	6	1.01904
ENST00000632980.1	432	183	0	0
ENST00000631826.1	411	162	0	0
ENST00000632719.1	425	176	0	0
ENST00000633426.1	571	322	0	0
ENST00000631755.1	425	176	0	0
ENST00000631975.1	430	181	0	0
ENST00000633147.1	412	163	0	0
ENST00000631869.1	353	104.031	0	0
ENST00000633752.1	353	104.031	0	0
ENST00000631710.1	433	184	0	0
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	0	0
ENST00000620764.2	412	163	0	0
ENST00000633988.1	432	183	9.86984e-08	1.56638e-08
ENST00000632457.1	382	133.001	0	0
ENST00000619078.2	495	246	4	0.47224
ENST00000632173.1	434	185	0	0
ENST00000633040.1	435	186	0.000520614	8.12906e-05
ENST00000632846.1	429	180	0	0
ENST00000633602.1	439	190	0	0
ENST00000614315.1	303	56.5345	0	0
ENST00000632296.1	432	183	0	0
ENST00000633446.1	411	162	0.168027	0.0301233
ENST00000632614.1	414	165	0	0
ENST00000560724.3	378	129.001	0	0
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0	0
ENST00000631708.1	439	190	0	0
ENST00000632960.1	457	208	0	0
ENST00000633987.1	589	340	0.000836166	7.14251e-05
ENST00000632005.1	434	185	0	0
ENST00000633570.1	349	100.049	0	0
ENST00000615784.2	353	104.031	0.5	0.139587
ENST00000633400.1	431	182	0	0
ENST00000631379.1	417	168	0	0
ENST00000632882.1	414	165	0	0
ENST00000632211.1	439	190	0	0
ENST00000632105.1	657	408	0.000898563	6.39626e-05
ENST00000632630.1	432	183	0	0
ENST00000633299.1	417	168	1.08887e-08	1.88237e-09
ENST00000633350.1	417	168	0	0
ENST00000390282.2	419	170	0	0
ENST00000390287.2	365	116.007	0	0
ENST00000390283.2	414	165	0	0
ENST00000390284.2	362	113.011	0	0
ENST00000390285.4	353	104.031	0	0
ENST00000390286.3	381	132.001	0	0
ENST00000390289.2	379	130.001	22	4.91489
ENST00000390290.3	389	140	3	0.622343
ENST00000390291.2	405	156	0	0
ENST00000427632.2	409	160	0	0
ENST00000390293.1	369	120.004	0	0
ENST00000390294.2	407	158	0	0
ENST00000390295.3	385	136	0	0
ENST00000390296.2	397	148	0.5	0.0981173
ENST00000390297.3	467	218	6	0.799342
ENST00000390298.2	385	136	0	0
ENST00000390299.2	407	158	0	0
ENST00000390300.2	374	125.002	0	0
ENST00000390301.3	393	144	0	0
ENST00000390302.3	412	163	0	0
ENST00000390303.3	383	134.001	0	0
ENST00000390304.2	377	128.001	0	0
ENST00000390305.2	380	131.001	0	0
ENST00000390306.2	502	253	1.22798	0.140964
