target_id	length	eff_length	est_counts	tpm
ENST00000622028.1	353	104.031	0	0
ENST00000632585.1	408	159	57	8.96507
ENST00000632205.1	532	283	8338.53	736.85
ENST00000632891.1	380	131.001	792.255	151.24
ENST00000633250.1	445	196	151.666	19.3512
ENST00000631614.2	398	149	156.04	26.1895
ENST00000633273.1	409	160	1404.85	219.576
ENST00000632088.2	392	143	4665.24	815.855
ENST00000632502.1	398	149	1564.21	262.534
ENST00000632887.1	442	193	3841.7	497.786
ENST00000632011.1	378	129.001	1182.14	229.166
ENST00000632229.1	378	129.001	1432.78	277.755
ENST00000632822.1	400	151	6825.5	1130.4
ENST00000631699.1	406	157	504.124	80.2997
ENST00000633851.1	390	141	994.216	176.334
ENST00000631531.1	382	133.001	1435.8	269.971
ENST00000633682.1	390	141	38.4019	6.81097
ENST00000632910.1	390	141	2144.1	380.279
ENST00000634204.1	324	75.5516	814.575	269.627
ENST00000632835.1	382	133.001	243.935	45.8666
ENST00000632103.1	398	149	28.1137	4.71854
ENST00000631411.1	398	149	231.934	38.9272
ENST00000632811.1	312	64.392	33.6415	13.0653
ENST00000632384.1	314	66.2053	0	0
ENST00000634015.1	473	224	987.299	110.224
ENST00000633833.1	402	153	564.973	92.3448
ENST00000632076.1	415	166	366.011	55.1394
ENST00000633490.1	413	164	898.478	137.006
ENST00000632333.1	353	104.031	2.57446	0.618869
ENST00000632151.1	391	142	0	0
ENST00000632977.1	395	146	1625.86	278.488
ENST00000612474.2	402	153	11018.9	1801.04
ENST00000633618.1	427	178	2963.2	416.311
ENST00000631807.1	420	171	2192.7	320.67
ENST00000632980.1	432	183	7851.32	1072.92
ENST00000631826.1	411	162	16.043	2.47654
ENST00000632719.1	425	176	42.1543	5.9897
ENST00000633426.1	571	322	1133.21	88.0099
ENST00000631755.1	425	176	8.54281	1.21385
ENST00000631975.1	430	181	1005.57	138.934
ENST00000633147.1	412	163	5516.53	846.359
ENST00000631869.1	353	104.031	1750.43	420.783
ENST00000633752.1	353	104.031	4.13834	0.994806
ENST00000631710.1	433	184	280.16	38.0771
