target_id	length	eff_length	est_counts	tpm
ENST00000622028.1	353	104.031	0	0
ENST00000632585.1	408	159	11.5	2.79251
ENST00000632205.1	532	283	5521.82	753.339
ENST00000632891.1	380	131.001	571.176	168.341
ENST00000633250.1	445	196	76.7873	15.1261
ENST00000631614.2	398	149	18.1562	4.70472
ENST00000633273.1	409	160	791.057	190.89
ENST00000632088.2	392	143	1878.36	507.152
ENST00000632502.1	398	149	285.699	74.0316
ENST00000632887.1	442	193	2745.73	549.281
ENST00000632011.1	378	129.001	566.12	169.437
ENST00000632229.1	378	129.001	429.359	128.505
ENST00000632822.1	400	151	6901.86	1764.75
ENST00000631699.1	406	157	45.4384	11.1742
ENST00000633851.1	390	141	267.931	73.3664
ENST00000631531.1	382	133.001	214.205	62.1827
ENST00000633682.1	390	141	153.055	41.9105
ENST00000632910.1	390	141	292.979	80.2253
ENST00000634204.1	324	75.5516	197.032	100.691
ENST00000632835.1	382	133.001	130.209	37.7993
ENST00000632103.1	398	149	2.42588	0.628603
ENST00000631411.1	398	149	341.51	88.4935
ENST00000632811.1	312	64.392	20.2795	12.1596
ENST00000632384.1	314	66.2053	5.05919	2.95041
ENST00000634015.1	473	224	977.793	168.536
ENST00000633833.1	402	153	15.3538	3.87452
ENST00000632076.1	415	166	63.038	14.6618
ENST00000633490.1	413	164	61.6378	14.511
ENST00000632333.1	353	104.031	53.9977	20.0404
ENST00000632151.1	391	142	527.954	143.549
ENST00000632977.1	395	146	1694.69	448.159
ENST00000612474.2	402	153	3318.09	837.319
ENST00000633618.1	427	178	2.47361e-08	5.36544e-09
ENST00000631807.1	420	171	1752.32	395.65
ENST00000632980.1	432	183	2271.14	479.168
ENST00000631826.1	411	162	5.54609	1.3218
ENST00000632719.1	425	176	27.9181	6.12445
ENST00000633426.1	571	322	205.976	24.6976
ENST00000631755.1	425	176	4.52079	0.991736
ENST00000631975.1	430	181	101.07	21.5596
ENST00000633147.1	412	163	2476.05	586.498
ENST00000631869.1	353	104.031	1950.93	724.059
ENST00000633752.1	353	104.031	120.567	44.7465
ENST00000631710.1	433	184	75.772	15.8996
ENST00000632225.1	368	119.005	0	0
ENST00000632959.1	439	190	770.193	156.509
ENST00000620764.2	412	163	925.37	219.191
ENST00000633988.1	432	183	3003.3	633.639
ENST00000632457.1	382	133.001	561.758	163.076
ENST00000619078.2	495	246	1498.93	235.256
ENST00000632173.1	434	185	31.6151	6.59807
ENST00000633040.1	435	186	460.559	95.602
ENST00000632846.1	429	180	12.7398	2.73266
ENST00000633602.1	439	190	72.1211	14.6556
ENST00000614315.1	303	56.5345	15.2996	10.4487
ENST00000632296.1	432	183	286.302	60.4043
ENST00000633446.1	411	162	463.249	110.406
ENST00000632614.1	414	165	85.6189	20.0346
ENST00000560724.3	378	129.001	276.478	82.7485
ENST00000632052.1	356	107.022	0	0
ENST00000631785.1	427	178	0.000266195	5.77396e-05
