target_id	length	eff_length	est_counts	tpm
ENST00000622028.1	353	104.031	0	0
ENST00000632585.1	408	159	68	14.1256
ENST00000632205.1	532	283	4828.33	563.514
ENST00000632891.1	380	131.001	305.738	77.0849
ENST00000633250.1	445	196	33.6414	5.66909
ENST00000631614.2	398	149	37.5287	8.319
ENST00000633273.1	409	160	626.673	129.365
ENST00000632088.2	392	143	2330.05	538.176
ENST00000632502.1	398	149	354.35	78.5489
ENST00000632887.1	442	193	2065.18	353.424
ENST00000632011.1	378	129.001	199.079	50.9713
ENST00000632229.1	378	129.001	785.747	201.179
ENST00000632822.1	400	151	4824.22	1055.22
ENST00000631699.1	406	157	251.201	52.8464
ENST00000633851.1	390	141	270.373	63.3341
ENST00000631531.1	382	133.001	271.255	67.3626
ENST00000633682.1	390	141	0.146438	0.0343028
ENST00000632910.1	390	141	307.783	72.0973
ENST00000634204.1	324	75.5516	133.339	58.292
ENST00000632835.1	382	133.001	62.2877	15.4683
ENST00000632103.1	398	149	18.3179	4.06054
ENST00000631411.1	398	149	238.113	52.7826
ENST00000632811.1	312	64.392	30.6712	15.7323
ENST00000632384.1	314	66.2053	0	0
ENST00000634015.1	473	224	348.409	51.3732
ENST00000633833.1	402	153	230.808	49.8257
ENST00000632076.1	415	166	383.482	76.3012
ENST00000633490.1	413	164	370.816	74.6809
ENST00000632333.1	353	104.031	46.2344	14.679
ENST00000632151.1	391	142	8.15154	1.89603
ENST00000632977.1	395	146	896.507	202.813
ENST00000612474.2	402	153	1983.14	428.11
ENST00000633618.1	427	178	1873.47	347.634
ENST00000631807.1	420	171	2638.06	509.546
ENST00000632980.1	432	183	2417.73	436.367
ENST00000631826.1	411	162	7.51776	1.53274
ENST00000632719.1	425	176	34.502	6.4748
ENST00000633426.1	571	322	839.423	86.1033
ENST00000631755.1	425	176	3.51648	0.659918
ENST00000631975.1	430	181	36.3614	6.63525
ENST00000633147.1	412	163	1775.11	359.694
ENST00000631869.1	353	104.031	539.414	171.259
